id;titulo;preco;endereco;detalhes;descricao;link;tamanho;quartos;vagas;suites;plantas;data_extracao
27;"Rua 35, SUL, AGUAS CLARAS";NULL;N/A;"382 m²
2 Quartos
2 Suítes";"VENDA APARTAMENTO 2 QUARTOS SUL ÁGUAS CLARAS";https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-rua-35-632418;382;2;;2;;"2025-04-02 23:03:45"
28;"Quadra 205, SUL, AGUAS CLARAS";NULL;N/A;"265 m²
3 Quartos
3 Suítes
2 Vagas";", RESIDENCIAL RESORT AQUARIUS TENHA UM IMÓVEL EM UM CONDOMÍNIO FECHADO E DÊ À SUA FAMÍLIA A SEGURANÇA E A TRANQUILIDADE.";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-205-1018432;265;3;2;3;;"2025-04-02 23:03:45"
29;"Quadra 206, SUL, AGUAS CLARAS";NULL;N/A;"284 m²
4 Quartos
4 Suítes
3 Vagas";", SAGITARIUS RESIDENCIAL RESORT - PROXIMO AO PÃO DE AÇUCAR";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-206-866582;284;4;3;4;;"2025-04-02 23:03:45"
30;"Quadra 206, SUL, AGUAS CLARAS";NULL;N/A;"286 m²
4 Quartos
4 Suítes
3 Vagas";", SAGITARIUS RESIDENCIAL RESORT";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-206-786951;286;4;3;4;;"2025-04-02 23:03:45"
31;"Quadra 204, SUL, AGUAS CLARAS";NULL;N/A;"205 m²
4 Quartos
4 Suítes
3 Vagas";", QUATTRO MIRANTE RESIDENCE";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-204-1110798;205;4;3;4;;"2025-04-02 23:03:45"
32;"Quadra 202, SUL, AGUAS CLARAS";NULL;N/A;"317 m²
4 Quartos
4 Suítes
2 Vagas";"COBERTURA SONETO HOME & RESORT - NASCENTE - VISTA LIVRE - REFORMADO - DCE - VARANDA - 4 SUÍTES";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-202-1139073;317;4;2;4;;"2025-04-11 08:34:32"
33;"Quadra 205, SUL, AGUAS CLARAS";NULL;N/A;"265 m²
4 Quartos
4 Suítes
3 Vagas";", RESIDENCIAL RESORT AQUARIUS EXCELENTE OPORTUNIDADE ANDAR ALTO E REFORMADO!";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-205-983091;265;4;3;4;;"2025-04-11 08:34:32"
34;"Quadra 206, SUL, AGUAS CLARAS";NULL;N/A;"281 m²
4 Quartos
4 Suítes
4 Vagas";"PRAÇA TUIM, SAGITARIUS RESIDENCIAL RESORT EXCELENTE OPORTUNIDADE, REFORMADO, ANDAR ALTO E NASCENTE COM VISTA LIVRE!";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-206-1079517;281;4;4;4;;"2025-04-11 08:34:32"
35;"Avenida das Araucárias, SUL, AGUAS CLARAS";NULL;N/A;"203 m²
4 Quartos
3 Suítes
3 Vagas";"AVENIDA DAS ARAUCARIAS, ÁGUAS CLARAS, PENINSULA COM 203M2";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-avenida-das-araucarias-1078744;203;4;3;3;;"2025-04-11 08:34:32"
36;"Rua 4, SUL, AGUAS CLARAS";NULL;N/A;"220 m²
5 Quartos
4 Suítes
2 Vagas";"HEEEY - COBERTURA DUPLEX 4 QUARTOS E DCE 220 M²";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-rua-4-871337;220;5;2;4;;"2025-04-11 08:34:32"
37;"SMAS Trecho 3 Lote 7 PARK SUL, BRASILIA";NULL;7SUL;"58 a 125 m²
2 quartos
2 plantas";"SEU NOVO JEITO DE VIVER NA ASA SUL";https://www.dfimoveis.com.br/imovel/lancamento-7sul--1092188;"58 a 125";2;;;2;"2025-04-11 08:43:29"
