cod,sigla,valor,periodo
35,SP,14526,2002-01-15
33,RJ,8335,2002-01-15
17,TO,170,2002-01-15
16,AP,181,2002-01-15
15,PA,1192,2002-01-15
14,RR,122,2002-01-15
13,AM,513,2002-01-15
12,AC,151,2002-01-15
24,RN,299,2002-01-15
11,RO,615,2002-01-15
42,SC,670,2003-01-15
31,MG,3869,2003-01-15
12,AC,147,2003-01-15
50,MS,705,2003-01-15
22,PI,298,2003-01-15
43,RS,1908,2003-01-15
15,PA,1405,2003-01-15
23,CE,1563,2003-01-15
11,RO,566,2003-01-15
16,AP,185,2003-01-15
24,RN,405,2003-01-15
35,SP,14048,2003-01-15
32,ES,1629,2003-01-15
27,AL,1039,2003-01-15
51,MT,908,2003-01-15
13,AM,558,2003-01-15
17,TO,204,2003-01-15
41,PR,2555,2003-01-15
26,PE,4517,2003-01-15
28,SE,469,2003-01-15
52,GO,1346,2003-01-15
21,MA,795,2003-01-15
33,RJ,8115,2003-01-15
29,BA,2166,2003-01-15
25,PB,616,2003-01-15
14,RR,106,2003-01-15
53,DF,742,2003-01-15
14,RR,85,2004-01-15
15,PA,1519,2004-01-15
32,ES,1619,2004-01-15
17,TO,198,2004-01-15
43,RS,1982,2004-01-15
24,RN,344,2004-01-15
22,PI,327,2004-01-15
16,AP,172,2004-01-15
29,BA,2262,2004-01-15
21,MA,732,2004-01-15
27,AL,1035,2004-01-15
52,GO,1524,2004-01-15
25,PB,675,2004-01-15
42,SC,638,2004-01-15
31,MG,4286,2004-01-15
26,PE,4174,2004-01-15
23,CE,1582,2004-01-15
12,AC,114,2004-01-15
11,RO,563,2004-01-15
35,SP,11336,2004-01-15
41,PR,2826,2004-01-15
51,MT,853,2004-01-15
13,AM,526,2004-01-15
33,RJ,7731,2004-01-15
28,SE,454,2004-01-15
50,MS,656,2004-01-15
53,DF,696,2004-01-15
35,SP,8870,2005-01-15
29,BA,2881,2005-01-15
27,AL,1203,2005-01-15
11,RO,555,2005-01-15
53,DF,657,2005-01-15
24,RN,406,2005-01-15
52,GO,1468,2005-01-15
25,PB,745,2005-01-15
26,PE,4330,2005-01-15
23,CE,1699,2005-01-15
12,AC,124,2005-01-15
51,MT,907,2005-01-15
13,AM,599,2005-01-15
28,SE,487,2005-01-15
50,MS,631,2005-01-15
14,RR,95,2005-01-15
15,PA,1926,2005-01-15
43,RS,2021,2005-01-15
22,PI,368,2005-01-15
16,AP,196,2005-01-15
17,TO,190,2005-01-15
32,ES,1602,2005-01-15
33,RJ,7408,2005-01-15
31,MG,4223,2005-01-15
41,PR,2977,2005-01-15
21,MA,935,2005-01-15
42,SC,633,2005-01-15
17,TO,229,2006-01-15
32,ES,1762,2006-01-15
53,DF,660,2006-01-15
15,PA,2073,2006-01-15
14,RR,111,2006-01-15
50,MS,683,2006-01-15
13,AM,699,2006-01-15
11,RO,585,2006-01-15
33,RJ,7389,2006-01-15
31,MG,4177,2006-01-15
41,PR,3098,2006-01-15
51,MT,896,2006-01-15
12,AC,158,2006-01-15
27,AL,1620,2006-01-15
35,SP,8377,2006-01-15
23,CE,1792,2006-01-15
25,PB,825,2006-01-15
52,GO,1509,2006-01-15
21,MA,969,2006-01-15
28,SE,585,2006-01-15
29,BA,3311,2006-01-15
16,AP,202,2006-01-15
22,PI,418,2006-01-15
42,SC,666,2006-01-15
26,PE,4472,2006-01-15
43,RS,1983,2006-01-15
24,RN,455,2006-01-15
16,AP,172,2007-01-15
27,AL,1836,2007-01-15
23,CE,1933,2007-01-15
22,PI,383,2007-01-15
28,SE,522,2007-01-15
21,MA,1127,2007-01-15
29,BA,3659,2007-01-15
41,PR,3105,2007-01-15
35,SP,6437,2007-01-15
31,MG,4125,2007-01-15
33,RJ,6551,2007-01-15
32,ES,1877,2007-01-15
17,TO,226,2007-01-15
42,SC,632,2007-01-15
43,RS,2199,2007-01-15
15,PA,2194,2007-01-15
14,RR,116,2007-01-15
50,MS,710,2007-01-15
13,AM,715,2007-01-15
51,MT,889,2007-01-15
12,AC,137,2007-01-15
25,PB,864,2007-01-15
52,GO,1521,2007-01-15
24,RN,589,2007-01-15
53,DF,711,2007-01-15
11,RO,432,2007-01-15
26,PE,4557,2007-01-15
41,PR,3445,2008-01-15
26,PE,4446,2008-01-15
50,MS,699,2008-01-15
52,GO,1792,2008-01-15
33,RJ,5662,2008-01-15
43,RS,2380,2008-01-15
21,MA,1277,2008-01-15
35,SP,6332,2008-01-15
24,RN,714,2008-01-15
22,PI,361,2008-01-15
42,SC,802,2008-01-15
27,AL,1887,2008-01-15
13,AM,830,2008-01-15
53,DF,812,2008-01-15
17,TO,237,2008-01-15
29,BA,4819,2008-01-15
51,MT,937,2008-01-15
31,MG,3889,2008-01-15
16,AP,210,2008-01-15
28,SE,555,2008-01-15
11,RO,480,2008-01-15
25,PB,1029,2008-01-15
12,AC,133,2008-01-15
23,CE,2019,2008-01-15
15,PA,2860,2008-01-15
32,ES,1947,2008-01-15
14,RR,105,2008-01-15
25,PB,1263,2009-01-15
52,GO,1902,2009-01-15
24,RN,800,2009-01-15
29,BA,5432,2009-01-15
26,PE,3963,2009-01-15
23,CE,2165,2009-01-15
33,RJ,5365,2009-01-15
16,AP,190,2009-01-15
14,RR,118,2009-01-15
43,RS,2242,2009-01-15
53,DF,882,2009-01-15
21,MA,1398,2009-01-15
27,AL,1873,2009-01-15
22,PI,385,2009-01-15
11,RO,538,2009-01-15
15,PA,2989,2009-01-15
50,MS,725,2009-01-15
41,PR,3698,2009-01-15
35,SP,6557,2009-01-15
42,SC,820,2009-01-15
13,AM,916,2009-01-15
17,TO,289,2009-01-15
31,MG,3742,2009-01-15
51,MT,1000,2009-01-15
12,AC,153,2009-01-15
32,ES,1985,2009-01-15
28,SE,653,2009-01-15
29,BA,5844,2010-01-15
43,RS,2085,2010-01-15
15,PA,3521,2010-01-15
53,DF,786,2010-01-15
27,AL,2087,2010-01-15
11,RO,546,2010-01-15
41,PR,3586,2010-01-15
35,SP,6039,2010-01-15
21,MA,1519,2010-01-15
31,MG,3646,2010-01-15
52,GO,1979,2010-01-15
24,RN,810,2010-01-15
33,RJ,5667,2010-01-15
23,CE,2688,2010-01-15
25,PB,1455,2010-01-15
32,ES,1792,2010-01-15
51,MT,972,2010-01-15
26,PE,3473,2010-01-15
12,AC,165,2010-01-15
17,TO,327,2010-01-15
13,AM,1082,2010-01-15
42,SC,823,2010-01-15
50,MS,656,2010-01-15
14,RR,121,2010-01-15
22,PI,411,2010-01-15
16,AP,260,2010-01-15
28,SE,676,2010-01-15
14,RR,95,2011-01-15
23,CE,2792,2011-01-15
17,TO,361,2011-01-15
53,DF,902,2011-01-15
27,AL,2244,2011-01-15
41,PR,3376,2011-01-15
11,RO,450,2011-01-15
28,SE,731,2011-01-15
43,RS,2077,2011-01-15
13,AM,1292,2011-01-15
50,MS,673,2011-01-15
33,RJ,4781,2011-01-15
35,SP,5842,2011-01-15
42,SC,811,2011-01-15
21,MA,1591,2011-01-15
52,GO,2272,2011-01-15
15,PA,3073,2011-01-15
22,PI,440,2011-01-15
32,ES,1672,2011-01-15
12,AC,164,2011-01-15
25,PB,1614,2011-01-15
16,AP,209,2011-01-15
31,MG,4262,2011-01-15
24,RN,1054,2011-01-15
26,PE,3471,2011-01-15
29,BA,5549,2011-01-15
51,MT,1009,2011-01-15
12,AC,208,2012-01-15
51,MT,1074,2012-01-15
52,GO,2793,2012-01-15
32,ES,1667,2012-01-15
41,PR,3489,2012-01-15
15,PA,3236,2012-01-15
31,MG,4562,2012-01-15
14,RR,144,2012-01-15
25,PB,1525,2012-01-15
27,AL,2046,2012-01-15
26,PE,3327,2012-01-15
29,BA,6148,2012-01-15
17,TO,379,2012-01-15
21,MA,1777,2012-01-15
13,AM,1344,2012-01-15
43,RS,2382,2012-01-15
42,SC,821,2012-01-15
50,MS,683,2012-01-15
35,SP,6566,2012-01-15
11,RO,526,2012-01-15
22,PI,525,2012-01-15
16,AP,253,2012-01-15
53,DF,954,2012-01-15
33,RJ,4772,2012-01-15
23,CE,3841,2012-01-15
28,SE,879,2012-01-15
24,RN,1124,2012-01-15
26,PE,3124,2013-01-15
15,PA,3405,2013-01-15
21,MA,2163,2013-01-15
14,RR,214,2013-01-15
22,PI,598,2013-01-15
17,TO,349,2013-01-15
51,MT,1158,2013-01-15
16,AP,225,2013-01-15
24,RN,1447,2013-01-15
12,AC,234,2013-01-15
31,MG,4717,2013-01-15
25,PB,1551,2013-01-15
53,DF,837,2013-01-15
27,AL,2148,2013-01-15
32,ES,1622,2013-01-15
50,MS,630,2013-01-15
11,RO,483,2013-01-15
33,RJ,5111,2013-01-15
28,SE,965,2013-01-15
41,PR,2936,2013-01-15
42,SC,789,2013-01-15
13,AM,1191,2013-01-15
23,CE,4473,2013-01-15
29,BA,5694,2013-01-15
43,RS,2322,2013-01-15
52,GO,2975,2013-01-15
35,SP,6035,2013-01-15
26,PE,3358,2014-01-15
29,BA,6052,2014-01-15
35,SP,6185,2014-01-15
21,MA,2462,2014-01-15
31,MG,4724,2014-01-15
33,RJ,5718,2014-01-15
32,ES,1609,2014-01-15
17,TO,381,2014-01-15
28,SE,1097,2014-01-15
42,SC,905,2014-01-15
16,AP,256,2014-01-15
15,PA,3446,2014-01-15
22,PI,717,2014-01-15
43,RS,2724,2014-01-15
14,RR,158,2014-01-15
50,MS,700,2014-01-15
13,AM,1240,2014-01-15
12,AC,232,2014-01-15
27,AL,2085,2014-01-15
51,MT,1358,2014-01-15
25,PB,1551,2014-01-15
23,CE,4626,2014-01-15
24,RN,1602,2014-01-15
52,GO,2887,2014-01-15
11,RO,578,2014-01-15
53,DF,843,2014-01-15
41,PR,2980,2014-01-15
28,SE,1303,2015-01-15
23,CE,4163,2015-01-15
43,RS,2944,2015-01-15
13,AM,1472,2015-01-15
50,MS,634,2015-01-15
31,MG,4532,2015-01-15
52,GO,2997,2015-01-15
53,DF,742,2015-01-15
42,SC,957,2015-01-15
41,PR,2936,2015-01-15
25,PB,1522,2015-01-15
22,PI,650,2015-01-15
51,MT,1203,2015-01-15
29,BA,6012,2015-01-15
15,PA,3675,2015-01-15
32,ES,1450,2015-01-15
21,MA,2438,2015-01-15
12,AC,217,2015-01-15
33,RJ,5067,2015-01-15
14,RR,203,2015-01-15
24,RN,1545,2015-01-15
27,AL,1748,2015-01-15
11,RO,600,2015-01-15
16,AP,293,2015-01-15
26,PE,3847,2015-01-15
35,SP,5427,2015-01-15
17,TO,503,2015-01-15
23,CE,3642,2016-01-15
21,MA,2408,2016-01-15
24,RN,1854,2016-01-15
14,RR,204,2016-01-15
15,PA,4223,2016-01-15
16,AP,381,2016-01-15
22,PI,701,2016-01-15
26,PE,4447,2016-01-15
29,BA,7171,2016-01-15
53,DF,760,2016-01-15
42,SC,984,2016-01-15
50,MS,671,2016-01-15
13,AM,1452,2016-01-15
28,SE,1465,2016-01-15
35,SP,4870,2016-01-15
43,RS,3225,2016-01-15
11,RO,703,2016-01-15
27,AL,1820,2016-01-15
17,TO,577,2016-01-15
12,AC,363,2016-01-15
52,GO,3036,2016-01-15
32,ES,1270,2016-01-15
41,PR,3080,2016-01-15
25,PB,1355,2016-01-15
31,MG,4622,2016-01-15
51,MT,1180,2016-01-15
33,RJ,6053,2016-01-15
29,BA,7487,2017-01-15
25,PB,1341,2017-01-15
15,PA,4575,2017-01-15
16,AP,383,2017-01-15
12,AC,516,2017-01-15
26,PE,5419,2017-01-15
14,RR,248,2017-01-15
23,CE,5433,2017-01-15
33,RJ,6416,2017-01-15
50,MS,659,2017-01-15
32,ES,1521,2017-01-15
28,SE,1313,2017-01-15
52,GO,2901,2017-01-15
43,RS,3316,2017-01-15
41,PR,2759,2017-01-15
42,SC,1066,2017-01-15
53,DF,610,2017-01-15
31,MG,4299,2017-01-15
21,MA,2180,2017-01-15
22,PI,626,2017-01-15
27,AL,1813,2017-01-15
24,RN,2203,2017-01-15
13,AM,1674,2017-01-15
51,MT,1102,2017-01-15
17,TO,557,2017-01-15
35,SP,4631,2017-01-15
11,RO,554,2017-01-15
22,PI,619,2018-01-15
35,SP,3727,2018-01-15
26,PE,4190,2018-01-15
16,AP,426,2018-01-15
21,MA,1982,2018-01-15
50,MS,572,2018-01-15
27,AL,1441,2018-01-15
42,SC,843,2018-01-15
17,TO,570,2018-01-15
11,RO,476,2018-01-15
12,AC,409,2018-01-15
51,MT,989,2018-01-15
41,PR,2443,2018-01-15
14,RR,414,2018-01-15
52,GO,2675,2018-01-15
32,ES,1165,2018-01-15
43,RS,2699,2018-01-15
33,RJ,6455,2018-01-15
28,SE,1133,2018-01-15
25,PB,1244,2018-01-15
15,PA,4528,2018-01-15
24,RN,1825,2018-01-15
53,DF,530,2018-01-15
23,CE,4900,2018-01-15
29,BA,6787,2018-01-15
13,AM,1542,2018-01-15
31,MG,3372,2018-01-15
16,AP,361,2019-01-15
11,RO,447,2019-01-15
24,RN,1346,2019-01-15
29,BA,6118,2019-01-15
15,PA,3405,2019-01-15
43,RS,2184,2019-01-15
35,SP,3361,2019-01-15
33,RJ,3552,2019-01-15
42,SC,767,2019-01-15
13,AM,1592,2019-01-15
28,SE,973,2019-01-15
23,CE,2417,2019-01-15
50,MS,491,2019-01-15
41,PR,2095,2019-01-15
53,DF,480,2019-01-15
32,ES,1043,2019-01-15
27,AL,1115,2019-01-15
51,MT,895,2019-01-15
52,GO,2253,2019-01-15
21,MA,1704,2019-01-15
22,PI,569,2019-01-15
14,RR,234,2019-01-15
26,PE,3474,2019-01-15
31,MG,2893,2019-01-15
17,TO,456,2019-01-15
